key,cz,en,ch
male1_Britain1,詹姆斯,James,詹姆斯
male1_Britain2,约翰,John,約翰
male1_Britain3,威廉,William,威廉
male1_Britain4,托马斯,Thomas,托馬斯
male1_Britain5,大卫,David,大衛
male1_Britain6,迈克尔,Michael,邁克爾
male1_Britain7,罗伯特,Robert,羅伯特
male1_Britain8,约瑟夫,Joseph,約瑟夫
male1_Britain9,查理,Charlie,查理
male1_Britain10,丹尼尔,Daniel,丹尼爾
male1_Britain11,马修,Matthew,馬修
male1_Britain12,理查德,Richard,理查德
male1_Britain13,安德鲁,Andrew,安德魯
male1_Britain14,爱德华,Edward,愛德華
male1_Britain15,乔治,George,喬治
male1_Britain16,杰克,Jack,傑克
male1_Britain17,亚历山大,Alexander,亞歷山大
male1_Britain18,瑞恩,Ryan,瑞恩
male1_Britain19,利亚姆,Liam,利亞姆
male1_Britain20,卢克,Luke,盧克
male1_Britain21,哈里,Harry,哈里
male1_Britain22,本杰明,Benjamin,本傑明
male1_Britain23,塞缪尔,Samuel,塞繆爾
male1_Britain24,亚当,Adam,亞當
male1_Britain25,雅各布,Jacob,雅各布
male1_Britain26,弗雷德里克,Frederick,弗雷德里克
male1_Britain27,阿尔菲,Alfie,阿爾菲
male1_Britain28,阿奇,Archie,阿奇
male1_Britain29,亚瑟,Arthur,亞瑟
male1_Britain30,卡勒姆,Callum,卡勒姆
male1_Britain31,卡梅伦,Cameron,卡梅倫
male1_Britain32,康纳,Connor,康納
male1_Britain33,迪伦,Dylan,迪倫
male1_Britain34,埃文,Evan,埃文
male1_Britain35,芬利,Finley,芬利
male1_Britain36,加雷斯,Gareth,加雷斯
male1_Britain37,加文,Gavin,加文
male1_Britain38,格雷厄姆,Graham,格雷厄姆
male1_Britain39,哈里森,Harrison,哈里森
male1_Britain40,亨利,Henry,亨利
male1_Britain41,雨果,Hugo,雨果
male1_Britain42,伊恩,Ian,伊恩
male1_Britain43,艾萨克,Isaac,艾薩克
male1_Britain44,杰森,Jason,傑森
male1_Britain45,乔尔,Joel,喬爾
male1_Britain46,凯兰,Kellan,凱蘭
male1_Britain47,凯文,Kevin,凱文
male1_Britain48,凯尔,Kyle,凱爾
male1_Britain49,李,Lee,李
male1_Britain50,利奥,Leo,利奧
male1_Britain51,路易斯,Louis,路易斯
male1_Britain52,洛根,Logan,洛根
male1_Britain53,马克斯,Max,馬克斯
male1_Britain54,穆雷,Murray,穆雷
male1_Britain55,内森,Nathan,內森
male1_Britain56,奈杰尔,Nigel,奈傑爾
male1_Britain57,诺亚,Noah,諾亞
male1_Britain58,奥利弗,Oliver,奧利弗
male1_Britain59,奥斯卡,Oscar,奧斯卡
male1_Britain60,欧文,Owen,歐文
male1_Britain61,帕特里克,Patrick,帕特里克
male1_Britain62,彼得,Peter,彼得
male1_Britain63,里斯,Rhys,里斯
male1_Britain64,罗纳,Ronald,羅納
male1_Britain65,罗里,Rory,羅里
male1_Britain66,斯科特,Scott,斯科特
male1_Britain67,肖恩,Sean,肖恩
